block_id,latitude,longitude,count
602,40.745,-73.9,1027
603,40.745,-73.895,1236
604,40.745,-73.89,1864
605,40.745,-73.885,1048
606,40.745,-73.88,808
607,40.745,-73.875,280
608,40.745,-73.87,143
609,40.745,-73.865,173
610,40.745,-73.86,87
611,40.745,-73.845,27
612,40.745,-73.825,49
613,40.75,-74.03,57
614,40.75,-74.025,120
615,40.75,-74.02,32
616,40.75,-74.005,12044
617,40.75,-74,33880
618,40.75,-73.995,35694
619,40.75,-73.99,249041
620,40.75,-73.985,108406
621,40.75,-73.98,97272
622,40.75,-73.975,214429
623,40.75,-73.97,128340
624,40.75,-73.965,56560
625,40.75,-73.96,1993
626,40.75,-73.955,37
627,40.75,-73.95,143
628,40.75,-73.945,3470
629,40.75,-73.94,5346
630,40.75,-73.935,3690
631,40.75,-73.93,1649
632,40.75,-73.925,799
633,40.75,-73.92,648
634,40.75,-73.915,290
635,40.75,-73.91,724
636,40.75,-73.905,771
637,40.75,-73.9,473
638,40.75,-73.895,692
639,40.75,-73.89,446
640,40.75,-73.885,111
641,40.75,-73.88,142
642,40.75,-73.875,116
643,40.75,-73.87,131
644,40.75,-73.865,33
645,40.75,-73.86,73
646,40.75,-73.855,60
647,40.75,-73.85,40
648,40.755,-74.165,61
649,40.755,-74.02,42
650,40.755,-74.005,90
651,40.755,-74,10346
652,40.755,-73.995,35807
653,40.755,-73.99,142454
654,40.755,-73.985,178341
655,40.755,-73.98,119768
656,40.755,-73.975,140573
657,40.755,-73.97,196180
658,40.755,-73.965,131772
659,40.755,-73.96,60053
660,40.755,-73.955,3329
661,40.755,-73.95,143
662,40.755,-73.945,77
663,40.755,-73.94,490
664,40.755,-73.935,1583
665,40.755,-73.93,1432
666,40.755,-73.925,1439
667,40.755,-73.92,1390
668,40.755,-73.915,1783
669,40.755,-73.91,495
670,40.755,-73.905,60
671,40.755,-73.9,50
672,40.755,-73.895,128
673,40.755,-73.89,173
674,40.755,-73.885,749
675,40.755,-73.88,908
676,40.755,-73.875,502
677,40.755,-73.87,307
678,40.755,-73.865,256
679,40.755,-73.86,152
680,40.755,-73.855,52
681,40.755,-73.85,32
682,40.755,-73.83,109
683,40.755,-73.825,86
684,40.76,-74.025,30
685,40.76,-74.02,35
686,40.76,-74,19293
687,40.76,-73.995,51956
688,40.76,-73.99,63473
689,40.76,-73.985,126196
690,40.76,-73.98,166342
691,40.76,-73.975,154032
692,40.76,-73.97,191913
693,40.76,-73.965,182410
694,40.76,-73.96,86091
695,40.76,-73.955,50704
696,40.76,-73.95,14692
697,40.76,-73.945,382
698,40.76,-73.94,105
699,40.76,-73.935,2548
700,40.76,-73.93,2037
701,40.76,-73.925,3186
702,40.76,-73.92,2252
703,40.76,-73.915,1214
704,40.76,-73.91,720
705,40.76,-73.905,100
706,40.76,-73.9,975
707,40.76,-73.895,72
708,40.76,-73.89,52
709,40.76,-73.885,90
710,40.76,-73.88,87
711,40.76,-73.875,235
712,40.76,-73.87,86
713,40.76,-73.865,26
714,40.76,-73.86,66
715,40.76,-73.83,165
716,40.76,-73.825,51
717,40.765,-74.02,64
718,40.765,-73.995,5252
719,40.765,-73.99,30200
720,40.765,-73.985,69565
721,40.765,-73.98,177036
722,40.765,-73.975,56572
723,40.765,-73.97,23987
724,40.765,-73.965,90780
725,40.765,-73.96,105455
726,40.765,-73.955,80285
727,40.765,-73.95,78749
728,40.765,-73.945,394
729,40.765,-73.94,44
730,40.765,-73.935,244
731,40.765,-73.93,1783
732,40.765,-73.925,2958
733,40.765,-73.92,2361
734,40.765,-73.915,1551
735,40.765,-73.91,2247
736,40.765,-73.905,331
737,40.765,-73.9,371
738,40.765,-73.895,361
739,40.765,-73.89,956
740,40.765,-73.885,624
741,40.765,-73.88,294
742,40.765,-73.875,343
743,40.765,-73.87,27
744,40.765,-73.865,677
745,40.765,-73.86,106204
746,40.765,-73.83,90
747,40.77,-73.99,12443
748,40.77,-73.985,34528
749,40.77,-73.98,133683
750,40.77,-73.975,25788
751,40.77,-73.97,65
752,40.77,-73.965,36331
753,40.77,-73.96,110679
754,40.77,-73.955,113329
755,40.77,-73.95,82428
756,40.77,-73.945,51375
757,40.77,-73.94,672
758,40.77,-73.93,72
759,40.77,-73.925,1598
760,40.77,-73.92,1551
761,40.77,-73.915,1891
762,40.77,-73.91,546
763,40.77,-73.905,757
764,40.77,-73.9,583
765,40.77,-73.885,9005
766,40.77,-73.88,52
767,40.77,-73.875,5436
768,40.77,-73.87,147223
769,40.77,-73.865,8524
770,40.77,-73.86,14498
771,40.775,-73.99,1754
772,40.775,-73.985,35389
773,40.775,-73.98,92353
774,40.775,-73.975,58189
775,40.775,-73.97,10225
776,40.775,-73.965,1768
777,40.775,-73.96,85669
778,40.775,-73.955,118710
779,40.775,-73.95,111689
780,40.775,-73.945,58954
781,40.775,-73.94,12262
782,40.775,-73.925,85
783,40.775,-73.92,309
784,40.775,-73.915,229
785,40.775,-73.91,907
786,40.775,-73.905,279
787,40.775,-73.9,79
788,40.775,-73.87,65
789,40.78,-73.985,944
790,40.78,-73.98,76598
791,40.78,-73.975,67266
792,40.78,-73.97,47685
793,40.78,-73.965,2107
794,40.78,-73.96,12946
795,40.78,-73.955,91856
796,40.78,-73.95,78072
797,40.78,-73.945,51912
798,40.78,-73.94,2273
799,40.78,-73.925,48
800,40.78,-73.915,165
801,40.78,-73.91,51
802,40.785,-73.98,5065
803,40.785,-73.975,93225
804,40.785,-73.97,48460
805,40.785,-73.965,30933
806,40.785,-73.955,20292
807,40.785,-73.95,41372
808,40.785,-73.945,11296
809,40.785,-73.94,7691
810,40.785,-73.935,140
811,40.785,-73.925,104
812,40.79,-73.98,87
813,40.79,-73.975,16116
814,40.79,-73.97,69949
815,40.79,-73.965,53022
816,40.79,-73.96,11406
817,40.79,-73.955,51
818,40.79,-73.95,10171
819,40.79,-73.945,6311
820,40.79,-73.94,10830
821,40.79,-73.935,2333
822,40.79,-73.93,240
823,40.79,-73.92,92
824,40.795,-73.975,296
825,40.795,-73.97,32625
826,40.795,-73.965,27375
827,40.795,-73.96,17626
828,40.795,-73.955,3552
829,40.795,-73.95,3078
830,40.795,-73.945,5055
831,40.795,-73.94,5843
832,40.795,-73.935,7213
833,40.795,-73.93,2242
834,40.795,-73.925,115
835,40.795,-73.92,195
836,40.795,-73.915,40
837,40.8,-73.97,155
838,40.8,-73.965,39469
839,40.8,-73.96,11363
840,40.8,-73.955,12260
841,40.8,-73.95,3359
842,40.8,-73.945,4858
843,40.8,-73.94,1982
844,40.8,-73.935,6052
845,40.8,-73.93,2425
846,40.8,-73.925,56
847,40.8,-73.92,34
848,40.8,-73.915,62
849,40.8,-73.91,34
850,40.805,-73.965,7306
851,40.805,-73.96,14560
852,40.805,-73.955,2797
853,40.805,-73.95,6175
854,40.805,-73.945,4167
855,40.805,-73.94,3226
856,40.805,-73.935,2282
857,40.805,-73.93,82
858,40.805,-73.925,613
859,40.805,-73.92,168
860,40.805,-73.915,100
861,40.805,-73.91,51
862,40.81,-74.07,42
863,40.81,-73.96,6308
864,40.81,-73.955,7146
865,40.81,-73.95,3625
866,40.81,-73.945,1446
867,40.81,-73.94,2517
868,40.81,-73.935,2747
869,40.81,-73.93,289
870,40.81,-73.925,676
871,40.81,-73.92,145
872,40.81,-73.915,64
873,40.81,-73.905,35
874,40.81,-73.9,48
875,40.815,-73.96,950
876,40.815,-73.955,5746
877,40.815,-73.95,1264
878,40.815,-73.945,1120
879,40.815,-73.94,1720
880,40.815,-73.935,1063
881,40.815,-73.93,55
882,40.815,-73.925,418
883,40.815,-73.92,140
884,40.815,-73.915,240
885,40.815,-73.91,56
886,40.815,-73.905,38
887,40.815,-73.9,30
888,40.815,-73.895,41
889,40.82,-73.955,1365
890,40.82,-73.95,5855
891,40.82,-73.945,1145
892,40.82,-73.94,1684
893,40.82,-73.935,897
894,40.82,-73.93,37
895,40.82,-73.925,90
896,40.82,-73.92,110
897,40.82,-73.915,58
898,40.82,-73.91,74
899,40.82,-73.905,88
900,40.82,-73.89,57
901,40.82,-73.88,28
902,40.825,-73.95,2352
903,40.825,-73.945,3225
904,40.825,-73.94,544
905,40.825,-73.935,456
906,40.825,-73.93,52
907,40.825,-73.925,117
908,40.825,-73.92,400
909,40.825,-73.915,95
910,40.825,-73.905,38
911,40.825,-73.9,30
912,40.825,-73.875,28
913,40.825,-73.87,35
914,40.825,-73.86,32
915,40.83,-73.95,26
916,40.83,-73.945,1920
917,40.83,-73.94,1597
918,40.83,-73.935,102
919,40.83,-73.925,109
920,40.83,-73.92,109
921,40.83,-73.915,216
922,40.83,-73.905,39
923,40.83,-73.9,32
924,40.83,-73.86,99
925,40.83,-73.85,64
926,40.835,-73.945,194
927,40.835,-73.94,2613
928,40.835,-73.935,142
929,40.835,-73.92,96
930,40.835,-73.915,291
931,40.835,-73.91,54
932,40.835,-73.9,32
933,40.835,-73.875,26
934,40.835,-73.87,27
935,40.835,-73.86,42
936,40.84,-73.94,1648
937,40.84,-73.935,1206
938,40.84,-73.93,28
939,40.84,-73.92,47
940,40.84,-73.915,37
941,40.84,-73.91,60
942,40.84,-73.9,58
943,40.845,-73.94,162
944,40.845,-73.935,1571
945,40.845,-73.93,297
946,40.845,-73.92,51
947,40.845,-73.915,33
948,40.845,-73.91,84
949,40.845,-73.905,65
950,40.845,-73.9,42
951,40.85,-73.94,183
952,40.85,-73.935,1019
953,40.85,-73.93,404
954,40.85,-73.925,55
955,40.85,-73.91,75
956,40.85,-73.905,230
957,40.85,-73.9,52
958,40.855,-73.97,26
959,40.855,-73.935,158
960,40.855,-73.93,390
961,40.855,-73.925,53
962,40.855,-73.905,32
963,40.855,-73.9,30
964,40.855,-73.865,46
965,40.855,-73.84,26
966,40.86,-73.93,33
967,40.86,-73.925,237
968,40.86,-73.92,131
969,40.86,-73.915,34
970,40.86,-73.91,42
971,40.86,-73.905,45
972,40.86,-73.9,85
973,40.86,-73.895,58
974,40.86,-73.89,50
975,40.865,-73.93,49
976,40.865,-73.925,604
977,40.865,-73.92,416
978,40.865,-73.915,159
979,40.865,-73.9,29
980,40.865,-73.89,29
981,40.865,-73.885,34
982,40.865,-73.85,37
983,40.87,-73.915,49
984,40.87,-73.91,113
985,40.87,-73.905,31
986,40.87,-73.885,46
987,40.87,-73.85,26
988,40.875,-73.905,81
989,40.875,-73.9,73
990,40.88,-73.9,31
991,40.88,-73.88,28
992,40.885,-73.905,54
